"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer","hamtaaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.modifierExtension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.nastaUttagInomFormanen","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.nastaUttagInomFormanen","","","",0,1,"","","","dateTime {[]} {[]}
","nastaUttagInomFormanen","Datum för nästa tillåtna uttag inom förmånen.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.nastaUttagInomFormanen",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratNPLId","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratNPLId","","","",0,1,"","","","string {[]} {[]}
","senastExpedieratNPLId","Senast expedierat NPL-id eller SB-id.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratNPLId",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratNPLPackId","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratNPLPackId","","","",0,1,"","","","string {[]} {[]}
","senastExpedieratNPLPackId","Senast expedierat NPL Pack-id eller SB Pack-id.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratNPLPackId",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratVarunr","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratVarunr","","","",0,1,"","","","string {[]} {[]}
","senastExpedieratVarunr","Senast expedierat varunr","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senastExpedieratVarunr",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteExpedieradMangd","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteExpedieradMangd","","","",1,1,"","","","decimal {[]} {[]}
","senasteExpedieradMangd","Senaste expedierad mängd","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteExpedieradMangd",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteFormansval","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteFormansval","","","",1,1,"","","","string {[]} {[]}
","senasteFormansval","Förmån som användes vid senaste expedition. U = Utan förmån R = Med förmån L = Livsmedel F = Kostnadsfritt","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteFormansval",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteUttagInomFormanen","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteUttagInomFormanen","","","",0,1,"","","","dateTime {[]} {[]}
","senasteUttagInomFormanen","Datum för senaste uttag inom förmånen enligt förmånsreglerna.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteUttagInomFormanen",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteUttagsdatum","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteUttagsdatum","","","",1,1,"","","","dateTime {[]} {[]}
","senasteUttagsdatum","Datum för senaste uttag","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.senasteUttagsdatum",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.tidigareOrdinationsId","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.tidigareOrdinationsId","","","",0,1,"","","","string {[]} {[]}
","tidigareOrdinationsId","Koppling till föregående ordination vid ordinationsförändringar. Ordinationerna behandlas som olika, fristående ordinationer. Används exempelvis vid förlängningar eller för att koppla ihop en ordination som skrivits ut på receptoriginal och registrerats in i OR igen.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.tidigareOrdinationsId",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning","","","",0,1,"","","","BackboneElement {[]} {[]}
","utsattning","Information om eventuell historikskapande händelse (utsättning). Endast en typ av historikskapande-information (makluering, förändring eller utsättning) kan förekomma. Utsättning innehållande enbart utsättningstidpunkt kan dock förekomma i kombination med annat historikskapande objekt.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.id","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.modifierExtension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.apotekspersonal","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.apotekspersonal","","","",0,1,"","","","BackboneElement {[]} {[]}
","apotekspersonal","Apotekspersonal.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.utsattning.apotekspersonal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
